posicao;titulo;autor;preco;dt
90;Paraíso tropical;Editora Escala;13.99;2024-03-29
91;Lições de estoicismo: O que os...;John Sellars;26.0;2024-03-29
92;O Corpo Fala;Pierre Weil e Roland To...;17.0;2024-03-29
93;Plantas Alimenticias Nao Conve...;Valdely Ferreira Kinupp;209.0;2024-03-29
94;Crepúsculo - Livro de Anotaçõe...;Catherine Hardwicke;40.0;2024-03-29
95;Alcançando Excelencia Em Venda...;Neil Rackham;55.0;2024-03-29
96;Pequena Coreografia do Adeus;Aline Bei;30.0;2024-03-29
97;Projeto de Trabalho - uma Form...;Laura Monte Serrat Barb...;28.99;2024-03-29
98;Desde Que o Samba é Samba;Paulo Lins;20.7;2024-03-29
99;História da Filosofia - Volume...;Giovanni Reale Dario An...;24.0;2024-03-29
100;Polícia, Democracia e Política...;Thaís Battibugli;14.98;2024-03-29
1;Memórias Póstumas de Brás Cuba...;Machado de Assis;6.0;2024-05-24
2;Ursula;Maria Firmina dos Reis;15.9;2024-05-24
3;Inteligência Competitiva;Elisabeth Gomes e Fabia...;6.0;2024-05-24
4;A História Secreta do Ocidente;Nicholas Hagger;45.0;2024-05-24
5;A Droga da Obediência;Pedro Bandeira;16.0;2024-05-24
6;Comunicação Não-violenta;Marshall B. Rosenberg;55.9;2024-05-24
7;Mania de Explicação;Adriana Falcão;23.9;2024-05-24
8;As Mentiras Que os Homens Cont...;Luis Fernando Verissimo;12.0;2024-05-24
9;A Ilha Perdida;Maria José Dupré;16.0;2024-05-24
10;O avesso da pele;Jeferson Tenorio;46.77;2024-05-24
11;Comédias para Se Ler na Escola;Luis Fernando Verissimo;6.0;2024-05-24
12;Levanta-te e Anda...;Cenyra Pinto;8.0;2024-05-24
13;Em Busca de Sentido;Viktor E. Frankl;30.0;2024-05-24
14;O Menino no Espelho;Fernando Sabino;19.0;2024-05-24
15;Garantia da Qualidade de Softw...;Alexandre Bartie;6.0;2024-05-24
16;Diário de um Banana;Jeff Kinney;24.0;2024-05-24
17;Incidente Em Antares;Erico Verissimo;6.0;2024-05-24
18;O Duque e Eu;Julia Quinn;20.0;2024-05-24
19;Meditações;Marco Aurélio;11.9;2024-05-24
20;Inteligência Emocional;Daniel Goleman;12.0;2024-05-24
21;Tudo sobre o amor;Bell Hooks;38.0;2024-05-24
22;Dom Casmurro;Machado de Assis;6.0;2024-05-24
23;O Velho e o Mar;Ernest Hemingway;10.0;2024-05-24
24;O Poder da Kabbalah;Yehuda Berg;9.98;2024-05-24
25;Um Defeito de Cor;Ana Maria Gonçalves;65.0;2024-05-24
26;NOSSO AMIGO VENTINHO;ROCHA RUTH;22.0;2024-05-24
27;Quem Mexeu no Meu Queijo?;Spencer Johnson;6.0;2024-05-24
28;Este Admirável Mundo Louco;Ruth Rocha;13.0;2024-05-24
29;A Metamorfose;Franz Kafka;8.0;2024-05-24
30;Como Fazer Amigos e Influencia...;Dale Carnegie;22.0;2024-05-24
31;Fabricação Classe Universal;Richard J. Schonberger;7.0;2024-05-24
32;Pai Rico Pai Pobre;Robert T Kiyosaki;32.0;2024-05-24
33;Violetas na Janela;Vera Lúcia Marinzeck de...;12.9;2024-05-24
34;O Escaravelho do Diabo;Lúcia Machado de Almeid...;10.0;2024-05-24
35;O Mundo de Sofia;Jostein Gaarder;17.27;2024-05-24
36;A Metamorfose do Lívio;Liana Leão;13.5;2024-05-24
37;Felpo Filva;Eva Furnari;13.0;2024-05-24
38;Operação Cavalo de Tróia;J. J. Benítez;9.0;2024-05-24
39;O Príncipe e o Mendigo;Mark Twain;7.0;2024-05-24
40;Barriga de Trigo;William Davis;18.0;2024-05-24
41;Os Quatro Compromissos;Don Miguel Ruiz;20.0;2024-05-24
42;Que Árvore é Aquela? What Tree...;Jean Irwin Smith;20.0;2024-05-24
