posicao;titulo;autor;preco;dt
71;Cálculo Volume 1;James Stewart;40.0;2024-03-29 14:22:32.718934
72;Sociologia do Negro Brasileiro;Clóvis Moura;50.0;2024-03-29 14:22:32.836137
73;O Segundo Grande Elo;Elizabeth Pereira;200.0;2024-03-29 14:22:32.937276
74;O Declínio da Cultura Ocidenta...;Allan Bloom;65.0;2024-03-29 14:22:33.032812
75;Meu Planeta Rima com Agua;Obeid, Cesar;48.96;2024-03-29 14:22:33.129974
76;Lições Preliminares de Direito;Miguel Reale;19.9;2024-03-29 14:22:33.265145
77;Hiperestática Plana Geral Vol....;Aderson Moreira da Roch...;14.4;2024-03-29 14:22:33.378421
78;Onde Está Wally?;Martin Handford;10.0;2024-03-29 14:22:33.480452
79;O Poder do Agora;Eckhart Tolle;16.0;2024-03-29 14:22:33.585342
80;Como e por Que Ler;Harold Bloom;64.0;2024-03-29 14:22:33.685981
81;O Homem e Seus Símbolos;Carl G. Jung;34.9;2024-03-29 14:22:33.783754
82;Alfabetização e Letramento;Magda Soares;20.0;2024-03-29 14:22:33.916116
83;Nutrição de Plantas;Renato de Mello Prado;69.0;2024-03-29 14:22:34.044194
84;O Normal e o Patológico;Georges Canguilhem;64.9;2024-03-29 14:22:34.147180
85;A Melhor Amiga de Anne;Kallie George (adapt.);23.0;2024-03-29 14:22:34.293596
86;Os Jesuítas - a Companhia de J...;Malachi Martin;190.0;2024-03-29 14:22:34.421313
87;Guerra e Paz;Liev Tolstói;15.0;2024-03-29 14:22:34.511530
88;O pacto da branquitude;Cida Bento;19.9;2024-03-29 14:22:34.621520
89;Avaliação Mediadora;Jussara Hoffmann;35.0;2024-03-29 14:22:34.740487
90;Paraíso tropical;Editora Escala;13.99;2024-03-29 14:22:34.840124
91;Lições de estoicismo: O que os...;John Sellars;26.0;2024-03-29 14:22:34.985145
92;O Corpo Fala;Pierre Weil e Roland To...;17.0;2024-03-29 14:22:35.131361
93;Plantas Alimenticias Nao Conve...;Valdely Ferreira Kinupp;209.0;2024-03-29 14:22:35.272385
94;Crepúsculo - Livro de Anotaçõe...;Catherine Hardwicke;40.0;2024-03-29 14:22:35.372185
95;Alcançando Excelencia Em Venda...;Neil Rackham;55.0;2024-03-29 14:22:35.472191
96;Pequena Coreografia do Adeus;Aline Bei;30.0;2024-03-29 14:22:35.587447
97;Projeto de Trabalho - uma Form...;Laura Monte Serrat Barb...;28.99;2024-03-29 14:22:35.748288
98;Desde Que o Samba é Samba;Paulo Lins;20.7;2024-03-29 14:22:35.897509
99;História da Filosofia - Volume...;Giovanni Reale Dario An...;24.0;2024-03-29 14:22:36.000065
100;Polícia, Democracia e Política...;Thaís Battibugli;14.98;2024-03-29 14:22:36.104554
